It's not(a)trailer”(it's a)”preview”
Bengali Akuma from Street fighter
He is very nice a good man 🦸‍♂️ 👨
He is a good one
1000 years 😂
Akuma style.
​@@vmusdc2664was about to say the Same thing homie
